id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4720966729728981,L8NriEOX3,6110531972,取昵称不容E,2022新年快乐@北京高校联队@捷酷JAKROO@vortex轮组@潘震-自行车教练@战五渣的罗雪tattoo,,,"北京高校联队,捷酷JAKROO,vortex轮组,潘震-自行车教练,战五渣的罗雪tattoo",,0,0,4,2022-01-01 23:07,iPhone客户端,"['https://wx1.sinaimg.cn/large/006Fxavily1gxykllvw9dj33402c0e81.jpg', 'https://wx3.sinaimg.cn/large/006Fxavily1gxyklnyvdrj33402c0npg.jpg', 'https://wx4.sinaimg.cn/large/006Fxavily1gxyklkgw51j318c0oygzn.jpg']",,
4720922097095647,L8MhjtLTV,1747728084,北京城市广播FM1073,【#2022艺考面对面#】全国艺术类本科高校新增296个艺术类专业，2022年艺考选择会变得容易吗？教育部再次强调提高艺考生文化成绩，艺考之路的难度是否又加大了？面对今年各校艺考招录政策的调整，考生们该如何做好充分准备？1月3日起，北京城市广播副中心之声（FM107.3AM1026）与北京教育考试院合作《2022艺考面对面》节目将与你准时见面，每晚5点45分到7点，北京及外埠近30所在京招收艺术类考生的高校招生负责人将通过节目第一时间发布本校招生方案，详解招生政策、录取规则等，指导考生填报志愿、选择专业。直播频率：FM107.3;AM1026北京城市广播副中心之声直播时间：1月7日17:45-19:00重播时间：次日9：00-9：30网络直播：听听FM、快手（教育面对面）微信微博：@教育面对面RBC音频回放：微信“教育面对面RBC”、听听FMO网页链接咨询电话：65150822；65150833L北京城市广播FM1073的微博视频,,,教育面对面RBC,2022艺考面对面,0,0,0,2022-01-01 20:10,微博视频号,,"http://f.video.weibocdn.com/o0/VGJfN6V6lx07SAU4to2Y010412002UgJ0E010.mp4?label=mp4_hd&template=368x640.24.0&trans_finger=d441f0c6ceb662aca7fd910096c855a9&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=fxxmXdnlqS&KID=unistore,video",
4720915734070630,L8M73h4Xk,1873624837,北京理工大学珠海学院,#高校美食pk赛##北小珠喊你开饭啦#滴~北小珠邀你进入北理珠美食频道鸡蛋均匀地包裹住每一粒米饭在猛火中炒至金黄再配上不同的配料和蔬菜嗯～美味北京理工大学珠海学院,,,,"高校美食pk赛,北小珠喊你开饭啦",1,0,3,2022-01-01 19:44,北京理工大学珠海学院超话,['https://wx1.sinaimg.cn/large/6fad3f05gy1gxyesf5oauj21t31qaqv5.jpg'],,
4720901964955832,L8LKQkNeM,2619396720,南铁宜春车务段,#宜车微视角#【为这所学校的学生点赞！#北化工学生快递箱回收复用率超90%#】12月30日，有报道称北京化工大学驿站快递箱回收复用率超90%，远超其他高校。对此该校学生表示：平时有把实验室的废液分类管理的习惯，一次性塑料袋已经不要了……此外，学校驿站的站长表示：“现在的学生很有环保意识，装快递纸壳的回收箱从早上到现在已经整理好几次了”这就是#刻在化工学生DNA里的环保意识#LVista看天下的微博视频,,,,"宜车微视角,北化工学生快递箱回收复用率超90%,刻在化工学生DNA里的环保意识",0,0,1,2022-01-01 18:50,微博视频号,,"http://f.video.weibocdn.com/o0/ih4OFVt5lx07SB3oHpIY010412015agT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=pKlUfEYuIX&KID=unistore,video",
4720891617870239,L8Lu9x1pl,1745839165,河北科工大微博协会,#科工微分享##高校版一起向未来#为助力2022年北京冬奥会，点亮冰雪梦想、弘扬冬奥精神。日前，我校学生工作处（团委）积极组织百余名师生精心录制手势舞版《一起向未来》MV发布后多家权威媒体转发，一起来看看河北科工大学子们的《一起向未来》吧！L河北科工大微博协会的微博视频,,,,"科工微分享,高校版一起向未来",2,1,22,2022-01-01 18:08,河北科技工程职业技术大学超话,,"http://f.video.weibocdn.com/o0/wZqGQ4g2lx07SCHRJSMM01041203deQ50E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=y8HVyXZr31&KID=unistore,video",
4720825854592519,L8JM5jgIT,2671380057,日照市义务工作者联合会,【人才是日照最美的风景——日照市赴北京开展高校专场人才招聘活动侧记】O网页链接@百度新闻,,,百度新闻,,0,0,0,2022-01-01 13:47,百度新闻客户端,,,
4720807919487260,L8Jj9DO4k,2002634237,兰州校园,#北大跨年灯光秀#【2022｜#北京大学跨年晚会#】新年的钟声已经敲响，崭新的篇章已然翻开。一起回顾@北京大学跨年晚会现场的梦幻灯光秀，向2022说一声：“你好，新年！”#高校微博云跨年#L头条校园的微博视频,,,北京大学,"北大跨年灯光秀,北京大学跨年晚会,高校微博云跨年",0,0,2,2022-01-01 12:36,Android,,"http://f.video.weibocdn.com/u0/lRIsrqdQgx07SBxTPTu801041200NKHR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=MYkBvNreTO&KID=unistore,video",
4720806485298520,L8JgQmeo0,2002698697,南京校园,#北大跨年灯光秀#【2022｜#北京大学跨年晚会#】新年的钟声已经敲响，崭新的篇章已然翻开。一起回顾@北京大学跨年晚会现场的梦幻灯光秀，向2022说一声：“你好，新年！”#高校微博云跨年#L头条校园的微博视频,,,北京大学,"北大跨年灯光秀,北京大学跨年晚会,高校微博云跨年",0,0,0,2022-01-01 12:30,棉花糖HarmonyOS设备,,"http://f.video.weibocdn.com/u0/lRIsrqdQgx07SBxTPTu801041200NKHR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=MYkBvNreTO&KID=unistore,video",
4720804787653783,L8Je6w767,1865345137,北京交通大学,北京交通大学#小交嘚吧嘚##高校微博云跨年#小交希望小红果们期末取得好的成绩，在新的一年里离自己的理想更近一步！,,,,"小交嘚吧嘚,高校微博云跨年",1,2,14,2022-01-01 12:23,北京交通大学超话,['https://wx3.sinaimg.cn/large/6f2ee871ly1gxxz68qvuoj223l23le82.jpg'],,
4720801275712214,L8J8rnY0u,2003217771,北京校园,#北大跨年灯光秀#【2022｜#北京大学跨年晚会#】新年的钟声已经敲响，崭新的篇章已然翻开。一起回顾@北京大学跨年晚会现场的梦幻灯光秀，向2022说一声：“你好，新年！”#高校微博云跨年#L头条校园的微博视频,,,北京大学,"北大跨年灯光秀,北京大学跨年晚会,高校微博云跨年",0,0,0,2022-01-01 12:09,微博视频号,,"http://f.video.weibocdn.com/u0/lRIsrqdQgx07SBxTPTu801041200NKHR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1654313998&ssig=MYkBvNreTO&KID=unistore,video",
